chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538180738,2018-09-29T00:25:38Z,KK4EHJ-6,KK4EHJ-6,0(1/1),0,!,KK4EHJ-6,S#,34.868333,-83.810000,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538180739,2018-09-29T00:25:39Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,S#,34.868333,-83.810000,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538180790,2018-09-29T00:26:30Z,KD4DLU-8,N3DAB-1,0(2/1),1,`,KD4DLU-8,\k,33.913500,-84.354500,39.0,273.0,302.0,,,,Kenwood TM-D710,In Service,,
0,1538180853,2018-09-29T00:27:33Z,KK4EHJ-12,KK4EHJ-12,96(31/25),0,`,KK4EHJ-12,/>,34.536526,-83.917769,0.0,189.0,444.0,,,,Byonics TinyTrack3,In Service,"Seq=214, A1=422, A2=634",
0,1538180854,2018-09-29T00:27:34Z,KK4EHJ-12,KK4EHJ-6,45(20/16),0,`,KK4EHJ-12,/>,34.536526,-83.917769,0.0,189.0,444.0,,,,Byonics TinyTrack3,In Service,"Seq=214, A1=422, A2=634",
0,1538180859,2018-09-29T00:27:39Z,KD4DLU-8,N3DAB-1,132(38/25),0,`,KD4DLU-8,\k,33.929167,-84.357667,64.0,,336.0,,,,Kenwood TM-D710,In Service,,
0,1538180861,2018-09-29T00:27:41Z,KD4DLU-8,KK4EHJ-6,8(14/9),0,`,KD4DLU-8,\k,33.929167,-84.357667,64.0,,336.0,,,,Kenwood TM-D710,In Service,,
0,1538180896,2018-09-29T00:28:16Z,N3DAB-1,N3DAB-1,162(39/27),1,!,N3DAB-1,I&,34.484167,-84.347667,,,,,,,>40 APRSmax,,,Bent Tree iGate
0,1538181627,2018-09-29T00:40:27Z,KK4EHJ-12,KK4EHJ-12,69(12/19),0,`,KK4EHJ-12,/>,34.536548,-83.917757,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=227, A1=422, A2=633",
0,1538181628,2018-09-29T00:40:28Z,KK4EHJ-12,KK4EHJ-6,46(15/12),0,`,KK4EHJ-12,/>,34.536548,-83.917757,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=227, A1=422, A2=633",
